ATS,Location Code,Location Name,Latitude,Longitude,ATS System Code,BEDS Number,Managed By Name,Location Type Description,Location Category Description,Grades,Grades Final,Open Date,Status Description,Building Code,Primary Address,City,State Code,Zip,Borough Block Lot,Census Tract,Community District,Council District,NTA,NTA_Name,Principal Name,Principal Title,Principal Phone Number,Fax Number,Geographical District Code,Administrative District Code,Administrative District Location Code,Administrative District Name,Community School Sup Name,HighSchool Network Location Code,HighSchool Network Name,HighSchool Network Superintendent,HighSchool Network Superintendent Email,BCO Location Code,in_LCGMS,geometry,BAP Rating,Accessibility Description,BAP Full URL,accessibility_match_status
18K567,K567,Brooklyn Theatre Arts High School,40.634451,-73.916927,18K567,331800011567.0,DOE,General Academic,High school,"09,10,11,12,SE","09,10,11,12",Jul 1 2007,Open,K515,6565 FLATLANDS AVENUE,BROOKLYN,NY,11236.0,3079980005.0,95000.0,318.0,46.0,BK50,Canarsie,DAVID WARD,Principal,718-968-1072,718-968-1065,18.0,18.0,HS06,,,HS06,HS Network 06 Superintendent Office,"PRAYOR, MICHAEL",mprayor@schools.nyc.gov,KFSS,True,POINT (-8228394.6746 4958571.873800002),6.0,Partially Accessible,https://nycdoe.sharepoint.com/:w:/s/BAP/ERc4IXOPBIlIvZftfJJSNHEBaIZxde_ONg7Nuja7CjMlKg,Complete (Current)
17K568,K568,Brownsville Academy High School,40.666251,-73.923881,17K568,331700011568.0,DOE,Transfer School,High school,"10,11,12,SE","09,10,11,12",Sep 8 2004,Open,K907,1150 East New York Avenue,Brooklyn,NY,11212.0,3035080012.0,90000.0,316.0,41.0,BK81,Brownsville,Carol Ying,Principal,718-778-7305,718-778-7385,17.0,17.0,HS10,,,HS10,HS Network 10 Superintendent Office,JOHN SULLIVAN,JSulliv3@schools.nyc.gov,ACES,True,POINT (-8229168.7904 4963237.702200003),9.0,Fully Accessible,https://nycdoe.sharepoint.com/:w:/s/BAP/EUIzK-t04DZEsx3CRs1Xq84BJdrxB6UfYJW8asvbkAHUAQ,Complete (Current)
18K569,K569,Kurt Hahn Expeditionary Learning School,40.647728,-73.922212,18K569,331800011569.0,DOE,General Academic,High school,"09,10,11,12,SE","09,10,11,12",Jul 1 2007,Open,K415,5800 TILDEN AVENUE,BROOKLYN,NY,11203.0,3047420001.0,93600.0,317.0,45.0,BK96,Rugby-Remsen Village,Jessica Jean Marie,Principal,718-629-1204,718-629-1076,18.0,18.0,HS12,,,HS12,H.S. Network 12 Superintendent Office,"Cheng, Alan",ACheng3@schools.nyc.gov,ACES,True,POINT (-8228982.998199999 4960519.6602),9.0,Fully Accessible,https://nycdoe.sharepoint.com/:w:/s/BAP/EbVBYxcKmthAg2DJWANXLwkBYQ-gLHi9UzWfjysMYRLRWA,Complete (Current)
21K572,K572,Leaders High School,40.593028,-73.986313,21K572,332100011572.0,DOE,General Academic,High school,"09,10,11,12,SE","09,10,11,12",Jul 1 2007,Open,K400,2630 BENSON AVENUE,BROOKLYN,NY,11214.0,3068830001.0,30600.0,313.0,47.0,BK26,Gravesend,Thomas Mullen,Principal,718-333-7700,718-333-7725,21.0,21.0,HS12,,,HS12,H.S. Network 12 Superintendent Office,"Cheng, Alan",ACheng3@schools.nyc.gov,ACES,True,POINT (-8236118.6888 4952497.450199999),8.0,Partially Accessible,https://nycdoe.sharepoint.com/:w:/s/BAP/EQMAyEoeohxFi1un1lFQwwoBGrOAfj6fCrrs2WmuFl1QZg,Complete (Current)
18K576,K576,Victory Collegiate High School,40.634451,-73.916927,18K576,331800011576.0,DOE,General Academic,High school,"09,10,11,12,SE","09,10,11,12",Jul 1 2007,Open,K515,6565 FLATLANDS AVENUE,BROOKLYN,NY,11236.0,3079980005.0,95000.0,318.0,46.0,BK50,Canarsie,SHEENA GARWOOD,Principal,718-968-1530,718-968-1526,18.0,18.0,HS06,,,HS06,HS Network 06 Superintendent Office,"PRAYOR, MICHAEL",mprayor@schools.nyc.gov,KFSS,True,POINT (-8228394.6746 4958571.873800002),6.0,Partially Accessible,https://nycdoe.sharepoint.com/:w:/s/BAP/ERc4IXOPBIlIvZftfJJSNHEBaIZxde_ONg7Nuja7CjMlKg,Complete (Current)
14K577,K577,Conselyea Preparatory School,40.715268,-73.9573,14K577,331400010577.0,DOE,General Academic,Junior High-Intermediate-Middle,"06,07,08,SE","06,07,08",Sep 8 2004,Open,K017,208 NORTH 5 STREET,BROOKLYN,NY,11211.0,3023450001.0,51900.0,301.0,34.0,BK73,North Side-South Side,MARIA MASULLO,Principal,718-486-6211,718-486-6771,14.0,14.0,K814,COMMUNITY SCHOOL DISTRICT 14,DAVID CINTRON,,,,,KFSN,True,POINT (-8232888.976399999 4970434.0405),N/A,No Accessibility,TBD,Complete (Raw Backup)
18K578,K578,Brooklyn Bridge Academy,40.634451,-73.916927,18K578,331800011578.0,DOE,Transfer School,High school,"09,10,11,12,SE","09,10,11,12",Jul 1 2007,Open,K515,6565 FLATLANDS AVENUE,BROOKLYN,NY,11236.0,3079980005.0,95000.0,318.0,46.0,BK50,Canarsie,Max Jean Paul,Principal,718-968-1689,718-968-1678,18.0,18.0,HS10,,,HS10,HS Network 10 Superintendent Office,JOHN SULLIVAN,JSulliv3@schools.nyc.gov,ACES,True,POINT (-8228394.6746 4958571.873800002),6.0,Partially Accessible,https://nycdoe.sharepoint.com/:w:/s/BAP/ERc4IXOPBIlIvZftfJJSNHEBaIZxde_ONg7Nuja7CjMlKg,Complete (Current)
18K581,K581,"The Middle School of Media, Law and Fine Arts",40.659088,-73.928744,18K581,331800010581.0,DOE,General Academic,Junior High-Intermediate-Middle,"05,06,07,08,SE","06,07,08",Jul 1 2007,Open,K232,905 WINTHROP STREET,BROOKLYN,NY,11203.0,3046060025.0,88000.0,317.0,41.0,BK60,Prospect Lefferts Gardens-Wingate,Desiree Hunter,I.A. Principal,718-773-3059,718-773-3827,18.0,18.0,K818,COMMUNITY SCHOOL DISTRICT 18,CELESTE DOUGLAS,,,,,KFSS,True,POINT (-8229710.1371 4962186.523000002),3.0,Partially Accessible,https://nycdoe.sharepoint.com/:w:/s/BAP/EV_YfRYmW01FohJCUPe9Bf0B_h7JN8HBkmnlE9-QtzgaEw,Complete (Current)
14K582,K582,M.S. 582,40.708804,-73.939385,14K582,331400010582.0,DOE,General Academic,Junior High-Intermediate-Middle,"06,07,08,SE","06,07,08",Sep 8 2004,Open,K196,207 BUSHWICK AVENUE,BROOKLYN,NY,11206.0,3030460001.0,48500.0,301.0,34.0,BK78,Bushwick South,Jeffrey Merced,Principal,718-456-8218,718-456-8220,14.0,14.0,K814,COMMUNITY SCHOOL DISTRICT 14,DAVID CINTRON,,,,,KFSN,True,POINT (-8230894.6877999995 4969484.737400003),1.0,Partially Accessible,https://nycdoe.sharepoint.com/:w:/s/BAP/EXG9dffrvOJBjg7IumjdXKUBuZf2jFBkexyNpK_Hdwo0KQ,Complete (Current)
19K583,K583,Multicultural High School,40.693002,-73.869305,19K583,331900011583.0,DOE,General Academic,High school,"09,10,11,12","09,10,11,12",Jul 1 2007,Open,K420,999 JAMAICA AVENUE,BROOKLYN,NY,11208.0,3040940001.0,118000.0,305.0,37.0,BK99,park-cemetery-etc-Brooklyn,PETER NG A FOOK,Principal,718-827-2796,718-827-3970,19.0,19.0,HS05,,,HS05,HS Network 05 Superintendent Office,"ROSS, JANICE",JRoss11@schools.nyc.gov,KFSN,True,POINT (-8223093.4179 4967164.443599999),8.0,Partially Accessible,https://nycdoe.sharepoint.com/:w:/s/BAP/EcxONJLKVYJEvfM_V2Su4ZcBVLt3TygyXlTze8W2HOhfVQ,Complete (Current)
14K586,K586,Lyons Community School,40.709765,-73.944463,14K586,331400011586.0,DOE,General Academic,Secondary School,"06,07,08,09,10,11,12,SE","06,07,08,09,10,11,12",Jul 1 2007,Open,K049,223 GRAHAM AVENUE,BROOKLYN,NY,11206.0,3030250001.0,50500.0,301.0,34.0,BK90,East Williamsburg,Nathan Larsen,I.A. Principal,718-782-0918,718-782-5283,14.0,14.0,HS12,,,HS12,H.S. Network 12 Superintendent Office,"Cheng, Alan",ACheng3@schools.nyc.gov,ACES,True,POINT (-8231459.9681 4969625.864100002),N/A,No Accessibility,TBD,Complete (Raw Backup)
18K588,K588,Middle School for Art and Philosophy,40.657712,-73.919818,18K588,331800010588.0,DOE,General Academic,Junior High-Intermediate-Middle,"06,07,08,SE","06,07,08",Jul 1 2007,Open,K252,1084 Lenox Road,Brooklyn,NY,11212.0,3046690037.0,88600.0,317.0,41.0,BK96,Rugby-Remsen Village,Danielle Lamb,Principal,718-342-7563,718-342-8131,18.0,18.0,K818,COMMUNITY SCHOOL DISTRICT 18,CELESTE DOUGLAS,,,,,KFSS,True,POINT (-8228716.499299999 4961984.606200002),4.0,Partially Accessible,https://nycdoe.sharepoint.com/:w:/s/BAP/EYUoORoyvrhEqMKmYAID87QBIgGcDk_cwXUV2eBzz3dqLA,Complete (Current)
17K590,K590,Medgar Evers College Preparatory School,40.66679,-73.951823,17K590,331700011590.0,DOE,General Academic,Secondary School,"06,07,08,09,10,11,12,SE","06,07,08,09,10,11,12",Jul 1 2000,Open,K590,1186 Carroll Street,Brooklyn,NY,11225.0,3012890025.0,32100.0,309.0,35.0,BK63,Crown Heights South,MICHAEL WILTSHIRE,Principal,718-703-5400,718-703-5600,17.0,17.0,HS03,,,HS03,HS Network 03 Superintendent Office,"WALSH, FRED",FWalsh@schools.nyc.gov,MFSC,True,POINT (-8232279.2796 4963316.805699997),9.0,Fully Accessible,https://nycdoe.sharepoint.com/:w:/s/BAP/EbJoaE7icfNPi_aKXn9zTisBnTiro45YWNNhm_DatKp7tw,Complete (Current)
15K592,K592,Khalil Gibran International Academy,40.686147,-73.979829,15K592,331500011592.0,DOE,General Academic,High school,"09,10,11,12,SE","09,10,11,12",Jul 1 2007,Open,K654,382 Schermerhorn Street,Brooklyn,NY,11217.0,3001740001.0,1001.0,302.0,33.0,,,Amanda Hunter,Principal,718-237-2502,718-488-1724,15.0,15.0,HS07,,,HS07,HS Network 07 Superintendent Office,NOAH ANGELES,NAngeles2@schools.nyc.gov,XFSC,True,POINT (-8235396.893300001 4966158.057700001),10.0,Fully Accessible,https://nycdoe.sharepoint.com/:w:/s/BAP/Ebklsljc2A9AmRIQGUcr714Bm-TgfVVN6J6DNmcwQLlbzw,Complete (Current)
84K593,K593,Excellence Boys Charter School of Bedford Stuyvesa,40.683446,-73.925851,84K593,331600860860.0,Charter,General Academic,K-8,"01,02,03,04,05,06,07,08,09","0K,01,02,03,04,05,06,07,08",Sep 8 2004,Open,K783,225 Patchen Avenue,Brooklyn,NY,11233.0,3016730001.0,38300.0,303.0,41.0,BK35,Stuyvesant Heights,Quinterrence Bell/Stanley Redon,Principal,718-638-1830,718-638-2548,16.0,84.0,,OFFICE OF CHARTER SCHOOLS,,,,,,,True,POINT (-8229388.0898 4965761.550999999),9.0,Fully Accessible,https://nycdoe.sharepoint.com/:w:/s/BAP/EUGZsrcv-_pLh8DOFwA-AjMB-hTPM5puSctk4do7gwGf3g,Complete (Current)
13K594,K594,Gotham Professional Arts Academy,40.678591,-73.961636,13K594,331300011594.0,DOE,General Academic,High school,"09,10,11,12,SE","09,10,11,12",Jul 1 2007,Open,K909,561 GRAND AVENUE,BROOKLYN,NY,11238.0,3011410005.0,30500.0,308.0,35.0,BK61,Crown Heights North,Robert Michelin,Principal,718-230-7270,718-574-3971,17.0,13.0,HS12,,,HS12,H.S. Network 12 Superintendent Office,"Cheng, Alan",ACheng3@schools.nyc.gov,ACES,True,POINT (-8233371.6578 4965048.877499998),9.0,Fully Accessible,https://nycdoe.sharepoint.com/:w:/s/BAP/ERVfQLolTZxMoh5e1kP7BeYBxNYSqeqQUVqzf98nAU5Zaw,Complete (Current)
13K595,K595,Bedford Academy High School,40.685486,-73.953692,13K595,331300011595.0,DOE,General Academic,High school,"09,10,11,12,SE","09,10,11,12",Jul 1 2003,Open,K994,1119 BEDFORD AVENUE,BROOKLYN,NY,11216.0,3018120001.0,24300.0,303.0,36.0,BK75,Bedford,ADOFO MUHAMMAD,Principal,718-398-3061,718-636-3819,13.0,13.0,HS05,,,HS05,HS Network 05 Superintendent Office,"ROSS, JANICE",JRoss11@schools.nyc.gov,KFSN,True,POINT (-8232487.3357 4966061.021399997),10.0,Fully Accessible,https://nycdoe.sharepoint.com/:w:/s/BAP/Eb4TP64C6NdFkaGKumQHgvIBMJFPGz4_Fghau0BMvGl3EA,Complete (Current)
23K599,K599,Brooklyn Landmark Elementary School,40.680679,-73.910719,23K599,332300010599.0,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",Jul 1 2013,Open,K073,251 Macdougal Street,Brooklyn,NY,11233.0,3015280001.0,36900.0,316.0,37.0,BK79,Ocean Hill,Joyce Beckles Knights,Principal,718-443-2747,718-443-4365,23.0,23.0,K823,COMMUNITY SCHOOL DISTRICT 23,Khalek Kirkland,,,,,KFSN,True,POINT (-8227703.6032 4965355.372100003),N/A,No Accessibility,TBD,Complete (Raw Backup)
17K600,K600,Clara Barton High School,40.669805,-73.960689,17K600,331700011600.0,DOE,Career Technical,High school,"09,10,11,12,SE","09,10,11,12",Jul 1 1940,Open,K600,901 CLASSON AVENUE,BROOKLYN,NY,11225.0,3011870001.0,21300.0,309.0,35.0,BK63,Crown Heights South,RICHARD FORMAN,Principal,718-636-4900,718-857-3688,17.0,17.0,HS06,,,HS06,HS Network 06 Superintendent Office,"PRAYOR, MICHAEL",mprayor@schools.nyc.gov,KFSS,True,POINT (-8233266.2382 4963759.298100002),9.0,Fully Accessible,https://nycdoe.sharepoint.com/:w:/s/BAP/Eany3iExQXBKogDV3xg22gMBSy4_-WRJ3S1wDgnKe0-yNg,Complete (Current)
13K605,K605,George Westinghouse Career and Technical Education,40.695444,-73.986105,13K605,331300011605.0,DOE,Career Technical,High school,"09,10,11,12,SE","09,10,11,12",Jun 5 1996,Open,K580,105 TECH PLACE,BROOKLYN,NY,11201.0,3001310001.0,1300.0,302.0,33.0,BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,Kyleema Norman,Principal,718-625-6130,718-596-9434,13.0,13.0,HS05,,,HS05,HS Network 05 Superintendent Office,"ROSS, JANICE",JRoss11@schools.nyc.gov,KFSN,True,POINT (-8236095.534399999 4967522.979800001),7.0,Partially Accessible,https://nycdoe.sharepoint.com/:w:/s/BAP/EYd63Fvxr5RJhOyTtkuu5mwB6jH4z0T-jwEVi6xRaRGcPQ,Complete (Current)
88K607,K607,ALC - Melrose Academy,40.702332,-73.929693,,,,,,,,,,K799,,,,,,,,,,,,,,,,,,,,,,,,,False,POINT (-8229815.7793000005 4968534.351800002),,,,No Match
84K608,K608,Kings Collegiate Charter School,40.657712,-73.919818,84K608,331800860908.0,Charter,General Academic,K-12 all grades,"0K,01,02,03,04,05,06,07,08,09,10,11,12","0K,01,02,03,04,05,06,07,08,09,10,11,12",Jul 1 2007,Open,K252,1084 Lenox Road,Brooklyn,NY,11212.0,3046690037.0,88600.0,317.0,41.0,BK96,Rugby-Remsen Village,Scott Schuster/Sean Gavin,Principal,347-390-0460,718-342-6727,18.0,84.0,,OFFICE OF CHARTER SCHOOLS,,,,,,,True,POINT (-8228716.499299999 4961984.606200002),4.0,Partially Accessible,https://nycdoe.sharepoint.com/:w:/s/BAP/EYUoORoyvrhEqMKmYAID87QBIgGcDk_cwXUV2eBzz3dqLA,Complete (Current)
20K609,K609,Urban Assembly School for Leadership and Empowerme,40.6351,-73.982424,20K609,332000011609.0,DOE,General Academic,Secondary School,"06,07,08,09,10,11,12,SE","06,07,08,09,10,11,12",Jul 1 2007,Open,K223,4200 16 Avenue,Brooklyn,NY,11204.0,3053620021.0,23000.0,312.0,44.0,BK88,Borough Park,Lauren Norman,Principal,718-438-3893,718-438-3527,20.0,20.0,HS03,,,HS03,HS Network 03 Superintendent Office,"WALSH, FRED",FWalsh@schools.nyc.gov,MFSC,True,POINT (-8235685.7673 4958667.075599998),7.0,Partially Accessible,https://nycdoe.sharepoint.com/:w:/s/BAP/ETDrhxkfINJJvgII5EyUCMABLY8m-3uzfljf8ZRXPQRIzw,Complete (Current)
14K610,K610,A-Tech High School,40.721448,-73.953328,14K610,331400011610.0,DOE,Career Technical,High school,"09,10,11,12,SE","09,10,11,12",Jul 1 1938,Open,K610,50 BEDFORD AVENUE,BROOKLYN,NY,11222.0,3026700001.0,51700.0,301.0,33.0,BK73,North Side-South Side,NEIL HARRIS,Principal,718-218-9301,718-599-4351,14.0,14.0,HS05,,,HS05,HS Network 05 Superintendent Office,"ROSS, JANICE",JRoss11@schools.nyc.gov,KFSN,True,POINT (-8232446.815400001 4971341.721500002),1.0,Partially Accessible,https://nycdoe.sharepoint.com/:w:/s/BAP/EeolikCxqjZHpa0F1YanxZIBgAAyzPQvqZneTsKPMV7B9A,Complete (Current)
22K611,K611,Origins High School,40.593157,-73.936635,22K611,332200011611.0,DOE,General Academic,High school,"09,10,11,12,SE","09,10,11,12",Jul 1 2013,Open,K495,3000 AVENUE X,BROOKLYN,NY,11235.0,3074250002.0,62600.0,315.0,48.0,BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,Ahmed Elmaliki,I.A. Principal,718-891-0037,718-891-0047,22.0,22.0,HS06,,,HS06,HS Network 06 Superintendent Office,"PRAYOR, MICHAEL",mprayor@schools.nyc.gov,KFSS,True,POINT (-8230588.5592 4952516.361400001),9.0,Fully Accessible,https://nycdoe.sharepoint.com/:w:/s/BAP/EQchxPESBN9Lg3Gz5kQzZHkBPZ0neyjsLVTrb-_-yB8FAg,Complete (Current)
14K614,K614,Young Women's Leadership School of Brooklyn,40.705005,-73.93879,14K614,331400011614.0,DOE,General Academic,Secondary School,"06,07,08,09,10,11,12,SE","06,07,08,09,10,11,12",Jul 1 2008,Open,K147,325 BUSHWICK AVENUE,BROOKLYN,NY,11206.0,3030910001.0,48500.0,301.0,34.0,BK78,Bushwick South,Catherine Mitchell,Principal,718-387-5641,,14.0,14.0,HS07,,,HS07,HS Network 07 Superintendent Office,NOAH ANGELES,NAngeles2@schools.nyc.gov,XFSC,True,POINT (-8230828.4527 4968926.859300002),1.0,Partially Accessible,https://nycdoe.sharepoint.com/:w:/s/BAP/EVxLTc3cmtpArwFbm7gCqmQBTa4xTm9TQrBYjZTQXA_dTw,Complete (Current)
19K615,K615,Transit Tech Career and Technical Education High S,40.67878,-73.875328,19K615,331900011615.0,DOE,Career Technical,High school,"09,10,11,12,SE","09,10,11,12",Jul 1 1941,Open,K615,1 WELLS STREET,BROOKLYN,NY,11208.0,3041550075.0,119600.0,305.0,37.0,BK82,East New York,Marlon Bynum,Principal,718-647-5204,718-647-4458,19.0,19.0,HS05,,,HS05,HS Network 05 Superintendent Office,"ROSS, JANICE",JRoss11@schools.nyc.gov,KFSN,True,POINT (-8223763.895099999 4965076.620200001),6.0,Partially Accessible,https://nycdoe.sharepoint.com/:w:/s/BAP/ERN8I_IwVU5NpvsGeBQoi8MBx-Fni6D_2oEaXJLFzmMWjw,Complete (Current)
13K616,K616,Brooklyn High School for Leadership and Community,40.692015,-73.95818,13K616,331300011616.0,DOE,Transfer School,High school,"09,10,11,12,SE","09,10,11,12",Jul 1 2008,Open,K117,300 WILLOUGHBY AVENUE,BROOKLYN,NY,11205.0,3019260010.0,23500.0,303.0,33.0,BK69,Clinton Hill,GEORGIA SERVES,Principal,718-638-3062,718-638-3404,13.0,13.0,HS10,,,HS10,HS Network 10 Superintendent Office,JOHN SULLIVAN,JSulliv3@schools.nyc.gov,ACES,True,POINT (-8232986.9376 4967019.5352),N/A,No Accessibility,TBD,Complete (Raw Backup)
18K617,K617,High School for Innovation in Advertising and Medi,40.640543,-73.898601,18K617,331800011617.0,DOE,Career Technical,High school,"09,10,11,12,SE","09,10,11,12",Jul 1 2008,Open,K500,1600 ROCKAWAY PARKWAY,BROOKLYN,NY,11236.0,3082220001.0,99000.0,318.0,46.0,BK50,Canarsie,ADALEZA MICHELENA,Principal,718-290-8760,718-290-8766,18.0,18.0,HS07,,,HS07,HS Network 07 Superintendent Office,NOAH ANGELES,NAngeles2@schools.nyc.gov,XFSC,True,POINT (-8226354.6337 4959465.545299999),1.0,Partially Accessible,https://nycdoe.sharepoint.com/:w:/s/BAP/EcMHXyseaaBKrFTihNPdeqABMADnSATgj22vtKruYTG4Fw,Complete (Current)
19K618,K618,Academy of Innovative Technology,40.693002,-73.869305,19K618,331900011618.0,DOE,Career Technical,High school,"09,10,11,12,SE","09,10,11,12",Jul 1 2008,Open,K420,999 JAMAICA AVENUE,BROOKLYN,NY,11208.0,3040940001.0,118000.0,305.0,37.0,BK99,park-cemetery-etc-Brooklyn,Meghan Drysdale,Principal,718-827-2469,718-827-4013,19.0,19.0,HS07,,,HS07,HS Network 07 Superintendent Office,NOAH ANGELES,NAngeles2@schools.nyc.gov,XFSC,True,POINT (-8223093.4179 4967164.443599999),8.0,Partially Accessible,https://nycdoe.sharepoint.com/:w:/s/BAP/EcxONJLKVYJEvfM_V2Su4ZcBVLt3TygyXlTze8W2HOhfVQ,Complete (Current)
21K620,K620,William E. Grady Career and Technical Education Hi,40.583263,-73.963764,21K620,332100011620.0,DOE,Career Technical,High school,"09,10,11,12,SE","09,10,11,12",Jul 1 1957,Open,K620,25 Brighton 4 Road,Brooklyn,NY,11235.0,3072610201.0,36600.0,313.0,48.0,BK19,Brighton Beach,Tarah Montalbano,Principal,718-332-5000,718-332-2544,21.0,21.0,HS06,,,HS06,HS Network 06 Superintendent Office,"PRAYOR, MICHAEL",mprayor@schools.nyc.gov,KFSS,True,POINT (-8233608.545600001 4951066.0222999975),1.0,Partially Accessible,https://nycdoe.sharepoint.com/:w:/s/BAP/EYNaNZDRGFdJvLjHhXwdhhsBac6i2UB1SdnNSh9sJYSDYg,Complete (Current)
84K626,K626,Achievement First Brownsville Charter School,40.674456,-73.912685,84K626,332300860912.0,Charter,General Academic,K-12 all grades,"0K,01,02,03,04,05,06,07,08,09,10,11,12","0K,01,02,03,04,05,06,07,08,09,10,11,12",Jul 1 2008,Open,K055,2021 BERGEN STREET,BROOKLYN,NY,11233.0,3014480001.0,36501.0,316.0,41.0,BK79,Ocean Hill,Allison Laird/Martin Palamore,Principal,347-471-2600,347-402-2900,23.0,84.0,,OFFICE OF CHARTER SCHOOLS,,,,,,,True,POINT (-8227922.4574 4964441.935000002),8.0,Partially Accessible,https://nycdoe.sharepoint.com/:w:/s/BAP/ET8kNDIVdhVKtkOuxS5kvrEBpZFnW8_pw-hX_6QbqZ0AsA,Complete (Current)
16K627,K627,Brighter Choice Community School,40.693654,-73.941278,16K627,331600010627.0,DOE,General Academic,Elementary,"PK,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",Jul 1 2008,Open,K304,280 HART STREET,BROOKLYN,NY,11206.0,3017730014.0,28100.0,303.0,36.0,BK35,Stuyvesant Heights,Josh Petraglia,Principal,718-574-2378,718-443-0639,16.0,16.0,K816,COMMUNITY SCHOOL DISTRICT 16,FABAYO MCINTOSH,,,,,KFSN,True,POINT (-8231105.4156 4967260.169399999),N/A,No Accessibility,TBD,Complete (Raw Backup)
16K628,K628,Brooklyn Brownstone School,40.681528,-73.935891,16K628,331600010628.0,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","0K,01,02,03,04,05",Jul 1 2008,Open,K035,272 Macdonough Street,Brooklyn,NY,11233.0,3016740011.0,27300.0,303.0,36.0,BK35,Stuyvesant Heights,Alexander Brunner,Principal,718-573-2307,718-573-2434,16.0,16.0,K816,COMMUNITY SCHOOL DISTRICT 16,FABAYO MCINTOSH,,,,,KFSN,True,POINT (-8230505.737500001 4965479.998400003),9.0,Fully Accessible,https://nycdoe.sharepoint.com/:w:/s/BAP/EVHZzDJHQvpNtz0qX1yZp74BI7SDqAaWaGpFLK46PnAo_g,Complete (Current)
18K629,K629,Cultural Academy for the Arts and Sciences,40.647728,-73.922212,18K629,331800011629.0,DOE,General Academic,High school,"09,10,11,12,SE","09,10,11,12",Jul 1 2008,Open,K415,5800 TILDEN AVENUE,BROOKLYN,NY,11203.0,3047420001.0,93600.0,317.0,45.0,BK96,Rugby-Remsen Village,Sanatha Alexis,Principal,718-968-6630,718-968-6635,18.0,18.0,HS06,,,HS06,HS Network 06 Superintendent Office,"PRAYOR, MICHAEL",mprayor@schools.nyc.gov,KFSS,True,POINT (-8228982.998199999 4960519.6602),9.0,Fully Accessible,https://nycdoe.sharepoint.com/:w:/s/BAP/EbVBYxcKmthAg2DJWANXLwkBYQ-gLHi9UzWfjysMYRLRWA,Complete (Current)
22K630,K630,Professional Pathways High School,40.593157,-73.936635,22K630,332200011630.0,DOE,Transfer School,High school,"09,10,11,12","09,10,11,12",Jul 1 2013,Open,K495,3000 AVENUE X,BROOKLYN,NY,11235.0,3074250002.0,62600.0,315.0,48.0,BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,David Decamp,Principal,718-332-6290,718-332-6296,22.0,22.0,HS10,,,HS10,HS Network 10 Superintendent Office,JOHN SULLIVAN,JSulliv3@schools.nyc.gov,ACES,True,POINT (-8230588.5592 4952516.361400001),9.0,Fully Accessible,https://nycdoe.sharepoint.com/:w:/s/BAP/EQchxPESBN9Lg3Gz5kQzZHkBPZ0neyjsLVTrb-_-yB8FAg,Complete (Current)
18K633,K633,High School for Medical Professions,40.640543,-73.898601,18K633,331800011633.0,DOE,General Academic,High school,"09,10,11,12,SE","09,10,11,12",Jul 1 2008,Open,K500,1600 ROCKAWAY PARKWAY,BROOKLYN,NY,11236.0,3082220001.0,99000.0,318.0,46.0,BK50,Canarsie,Pauline Obrien,Principal,718-290-8700,718-290-8705,18.0,18.0,HS06,,,HS06,HS Network 06 Superintendent Office,"PRAYOR, MICHAEL",mprayor@schools.nyc.gov,KFSS,True,POINT (-8226354.6337 4959465.545299999),1.0,Partially Accessible,https://nycdoe.sharepoint.com/:w:/s/BAP/EcMHXyseaaBKrFTihNPdeqABMADnSATgj22vtKruYTG4Fw,Complete (Current)
18K635,K635,Olympus Academy,40.645965,-73.898607,18K635,331800011635.0,DOE,Transfer School,High school,"09,10,11,12","09,10,11,12",Jul 1 2008,Open,K242,755 East 100 Street,Brooklyn,NY,11236.0,3081880001.0,974.0,318.0,46.0,BK50,Canarsie,Bruce Gonzales,Principal,718-272-1926,718-272-5713,18.0,18.0,HS10,,,HS10,HS Network 10 Superintendent Office,JOHN SULLIVAN,JSulliv3@schools.nyc.gov,ACES,True,POINT (-8226355.3016 4960260.9991),N/A,No Accessibility,TBD,Complete (Raw Backup)
18K637,K637,Academy for Conservation and the Environment,40.634451,-73.916927,18K637,331800011637.0,DOE,General Academic,High school,"09,10,11,12,SE","09,10,11,12",Jul 1 2008,Open,K515,6565 FLATLANDS AVENUE,BROOKLYN,NY,11236.0,3079980005.0,95000.0,318.0,46.0,BK50,Canarsie,EUGENE MAZZOLA,Principal,718-968-4101,718-968-4296,18.0,18.0,HS06,,,HS06,HS Network 06 Superintendent Office,"PRAYOR, MICHAEL",mprayor@schools.nyc.gov,KFSS,True,POINT (-8228394.6746 4958571.873800002),6.0,Partially Accessible,https://nycdoe.sharepoint.com/:w:/s/BAP/ERc4IXOPBIlIvZftfJJSNHEBaIZxde_ONg7Nuja7CjMlKg,Complete (Current)
