Geographical District Code,Borough,Building Code,Location Code,School DBN,Unnamed: 5,School Name,Grades Served,Pre-K,Address,Accessibility Description,BAP Rating
11,Bronx,X106,X106,11X106,,P.S. 106 Parkchester,Elementary,Yes,1514 Olmstead Avenue,Fully Accessible,10 out of 10
11,Bronx,X111,X016,11X016,,P.S. 016 Wakefield,Elementary,Yes,3740 Baychester Avenue,Partially Accessible,1 out of 10
11,Bronx,X111,X111,11X111,,P.S. 111 Seton Falls,Elementary,Yes,3740 Baychester Avenue,Partially Accessible,1 out of 10
11,Bronx,X111,X718,84X718,,Bronx Charter School for Better Learning,Elementary,Yes,3740 Baychester Avenue,Partially Accessible,1 out of 10
11,Bronx,X113,X287,11X287,,North Bronx School of Empowerment,Junior High-Intermediate-Middle,,3710 Barnes Avenue,Partially Accessible,5 out of 10
11,Bronx,X113,X370,11X370,,Leaders of Tomorrow,Junior High-Intermediate-Middle,,3710 Barnes Avenue,Partially Accessible,5 out of 10
11,Bronx,X127,X127,11X127,,J.H.S. 127 The Castle Hill,Junior High-Intermediate-Middle,,1560 Purdy Street,Partially Accessible,8 out of 10
11,Bronx,X127,X567,11X567,,Linden Tree Elementary School,Elementary,Yes,1560 Purdy Street,Partially Accessible,8 out of 10
11,Bronx,X144,X144,11X144,,J.H.S. 144 Michelangelo,Junior High-Intermediate-Middle,,2545 Gunther Avenue,Partially Accessible,3 out of 10
11,Bronx,X144,X484,84X484,,Bronx Charter School for Better Learning II,Elementary,,2545 Gunther Avenue,Partially Accessible,3 out of 10
11,Bronx,X144,X566,11X566,,Pelham Gardens Middle School,Junior High-Intermediate-Middle,,2545 Gunther Avenue,Partially Accessible,3 out of 10
11,Bronx,X153,X153,11X153,,P.S. 153 Helen Keller,Elementary,Yes,650 Baychester Avenue,Fully Accessible,9 out of 10
11,Bronx,X153,X596,75X596,,P.S. X596,Elementary,Yes,650 Baychester Avenue,Fully Accessible,9 out of 10
11,Bronx,X160,X160,11X160,,P.S. 160 Walt Disney,Elementary,Yes,4140 Hutchinson River Parkway East,Partially Accessible,8 out of 10
11,Bronx,X160,X168,75X168,,P.S. 168,K-12 all grades,Yes,4140 Hutchinson River Parkway East,Partially Accessible,8 out of 10
11,Bronx,X160,X488,84X488,,The Equality Charter School,Secondary School,,4140 Hutchinson River Parkway East,Partially Accessible,8 out of 10
11,Bronx,X169,X169,11X169,,Baychester Academy,Elementary,Yes,3500 Edson Avenue,Fully Accessible,10 out of 10
11,Bronx,X178,X178,11X178,,P.S. 178 - Dr. Selman Waksman,Elementary,Yes,850 Baychester Avenue,Partially Accessible,8 out of 10
11,Bronx,X178,X596,75X596,,P.S. X596,Elementary,Yes,850 Baychester Avenue,Partially Accessible,8 out of 10
11,Bronx,X180,X180,11X180,,M.S. 180 Dr. Daniel Hale Williams,Junior High-Intermediate-Middle,,700 Baychester Avenue,Fully Accessible,9 out of 10
11,Bronx,X181,X176,75X176,,P.S. X176,Secondary School,,800 Baychester Avenue,Partially Accessible,4 out of 10
11,Bronx,X181,X181,11X181,,I.S. 181 Pablo Casals,Junior High-Intermediate-Middle,,800 Baychester Avenue,Partially Accessible,4 out of 10
11,Bronx,X189,X189,11X189,,Cornerstone Academy for Social Action,Elementary,Yes,3441 Steenwick Avenue,Fully Accessible,10 out of 10
11,Bronx,X189,X462,11X462,,Cornerstone Academy for Social Action Middle School (CASA),Junior High-Intermediate-Middle,,3441 Steenwick Avenue,Fully Accessible,10 out of 10
11,Bronx,X189,X723,75X723,,P.S. 723,K-12 all grades,,3441 Steenwick Avenue,Fully Accessible,10 out of 10
11,Bronx,X194,X168,75X168,,P.S. 168,K-12 all grades,Yes,2365 Waterbury Avenue,Fully Accessible,10 out of 10
11,Bronx,X194,X194,11X194,,P.S./M.S. 194,K-8,,2365 Waterbury Avenue,Fully Accessible,10 out of 10
11,Bronx,X292,X357,11X357,,Young Voices Academy of the Bronx,Elementary,Yes,800 Lydig Avenue,Fully Accessible,10 out of 10
11,Bronx,X362,X270,11X270,,Academy for Scholarship and Entrepreneurship: A College Board School,High school,,921 East 228Th Street,Fully Accessible,10 out of 10
11,Bronx,X362,X513,11X513,,New World High School,High school,,921 East 228Th Street,Fully Accessible,10 out of 10
11,Bronx,X362,X514,11X514,,The Bronxwood Preparatory Academy,High school,,921 East 228Th Street,Fully Accessible,10 out of 10
11,Bronx,X362,X754,75X754,,J. M. Rapport School Career Development,High school,,921 East 228Th Street,Fully Accessible,10 out of 10
11,Bronx,X405,X293,08X293,,Renaissance High School for Musical Theater and the Arts,High school,,3000 East Tremont Avenue,Partially Accessible,6 out of 10
11,Bronx,X405,X320,08X320,,Pelham Lab High School,High school,,3000 East Tremont Avenue,Partially Accessible,6 out of 10
11,Bronx,X405,X348,08X348,,Schuylerville Preparatory High School,High school,,3000 East Tremont Avenue,Partially Accessible,6 out of 10
11,Bronx,X405,X349,08X349,,Bronx River High School,High school,,3000 East Tremont Avenue,Partially Accessible,6 out of 10
11,Bronx,X405,X405,08X405,,Herbert H. Lehman High School,High school,,3000 East Tremont Avenue,Partially Accessible,6 out of 10
11,Bronx,X405,X558,08X558,,Westchester Square Academy,High school,,3000 East Tremont Avenue,Partially Accessible,6 out of 10
11,Bronx,X405,X721,75X721,,P.S. X721 - Stephen McSweeney School,High school,,3000 East Tremont Avenue,Partially Accessible,6 out of 10
11,Bronx,X415,X010,75X010,,P.S. X010,K-12 all grades,Yes,925 Astor Avenue,Partially Accessible,4 out of 10
11,Bronx,X415,X288,11X288,,Collegiate Institute for Math and Science,High school,,925 Astor Avenue,Partially Accessible,4 out of 10
11,Bronx,X415,X299,11X299,,Astor Collegiate Academy,High school,,925 Astor Avenue,Partially Accessible,4 out of 10
11,Bronx,X415,X508,11X508,,Bronxdale High School,High school,,925 Astor Avenue,Partially Accessible,4 out of 10
11,Bronx,X415,X509,11X509,,High School of Language and Innovation,High school,,925 Astor Avenue,Partially Accessible,4 out of 10
11,Bronx,X415,X542,11X542,,Pelham Preparatory Academy,High school,,925 Astor Avenue,Partially Accessible,4 out of 10
11,Bronx,X425,X176,75X176,,P.S. X176,Secondary School,,800 East Gun Hill Road,Fully Accessible,9 out of 10
11,Bronx,X425,X253,11X253,,Bronx High School for Writing and Communication Arts,High school,,800 East Gun Hill Road,Fully Accessible,9 out of 10
11,Bronx,X425,X265,11X265,,Bronx Lab School,High school,,800 East Gun Hill Road,Fully Accessible,9 out of 10
11,Bronx,X425,X275,11X275,,High School of Computers and Technology,High school,,800 East Gun Hill Road,Fully Accessible,9 out of 10
11,Bronx,X425,X290,11X290,,Bronx Academy of Health Careers,High school,,800 East Gun Hill Road,Fully Accessible,9 out of 10
11,Bronx,X425,X544,11X544,,High School for Contemporary Arts,High school,,800 East Gun Hill Road,Fully Accessible,9 out of 10
11,Bronx,X425,X545,11X545,,Bronx Aerospace High School,High school,,800 East Gun Hill Road,Fully Accessible,9 out of 10
11,Bronx,X455,X176,75X176,,P.S. X176,Secondary School,,750 Baychester Avenue,Partially Accessible,5 out of 10
11,Bronx,X455,X249,11X249,,Bronx Health Sciences High School,High school,,750 Baychester Avenue,Partially Accessible,5 out of 10
11,Bronx,X455,X455,11X455,,Harry S Truman High School,High school,,750 Baychester Avenue,Partially Accessible,5 out of 10
11,Bronx,X498,X378,84X378,,Icahn Charter School 2,K-8,,1640 Bronxdale Ave,Fully Accessible,10 out of 10
11,Bronx,X498,X498,11X498,,P.S./M.S. 11X498 - Van Nest Academy,K-8,,1640 Bronxdale Ave,Fully Accessible,10 out of 10
11,Bronx,X498,X596,75X596,,P.S. X596,Elementary,Yes,1640 Bronxdale Ave,Fully Accessible,10 out of 10
11,Bronx,X722,X721,75X721,,P.S. X721 - Stephen McSweeney School,High school,,2697 Westchester Avenue,Partially Accessible,1 out of 10
11,Bronx,X839,X418,11X418,,Bronx High School for the Visual Arts,High school,,2040 Antin Pl,Fully Accessible,9 out of 10
11,Bronx,X839,X811,75X811,,P.S. X811,Secondary School,,2040 Antin Pl,Fully Accessible,9 out of 10
12,Bronx,X084,X811,75X811,,P.S. X811,Secondary School,,1434 Longfellow Avenue,Fully Accessible,9 out of 10
12,Bronx,X092,X352,75X352,,The Vida Bogart School for All Children,K-8,Yes,700 East 179 Street,Partially Accessible,4 out of 10
12,Bronx,X092,X595,12X595,,P.S. 595,Elementary,Yes,700 East 179 Street,Partially Accessible,4 out of 10
12,Bronx,X099,X248,12X248,,"Metropolitan High School, The",High school,,1180 Rev. J.A. Polite Ave.,Fully Accessible,9 out of 10
12,Bronx,X099,X723,75X723,,P.S. 723,K-12 all grades,,1180 Rev. J.A. Polite Ave.,Fully Accessible,9 out of 10
12,Bronx,X102,X531,12X531,,Archer Elementary School,Elementary,Yes,1827 Archer Street,Partially Accessible,8 out of 10
12,Bronx,X102,X536,12X536,,P.S. 536,Elementary,Yes,1827 Archer Street,Partially Accessible,8 out of 10
12,Bronx,X102,X691,12X691,,Bronx Little School,Elementary,Yes,1827 Archer Street,Partially Accessible,8 out of 10
12,Bronx,X116,X217,12X217,,School of Performing Arts,Junior High-Intermediate-Middle,,977 Fox Street,Partially Accessible,1 out of 10
12,Bronx,X116,X341,12X341,,Accion Academy,Junior High-Intermediate-Middle,,977 Fox Street,Partially Accessible,1 out of 10
12,Bronx,X116,X346,84X346,,South Bronx Classical Charter School,K-8,,977 Fox Street,Partially Accessible,1 out of 10
12,Bronx,X129,X129,12X129,,M.S. 129 Academy for Independent Learning and Leadership,Junior High-Intermediate-Middle,,2055 Mapes Avenue,Partially Accessible,1 out of 10
12,Bronx,X129,X316,12X316,,Kappa III,Junior High-Intermediate-Middle,,2055 Mapes Avenue,Partially Accessible,1 out of 10
12,Bronx,X136,X186,75X186,,P186X Walter J. Damrosch School,K-8,,750 Jennings Street,Partially Accessible,1 out of 10
12,Bronx,X158,X267,12X267,,Bronx Latin,Secondary School,,800 Home Street,Fully Accessible,9 out of 10
12,Bronx,X158,X479,12X479,,Bronx Career and College Preparatory High School,High school,,800 Home Street,Fully Accessible,9 out of 10
12,Bronx,X158,X482,84X482,,Dr. Richard Izquierdo Health and Science Charter School,Secondary School,,800 Home Street,Fully Accessible,9 out of 10
12,Bronx,X167,X214,12X214,,P.S. 214,K-8,Yes,1970 West Farms Road,Fully Accessible,9 out of 10
12,Bronx,X167,X383,12X383,,Emolior Academy,Junior High-Intermediate-Middle,,1970 West Farms Road,Fully Accessible,9 out of 10
12,Bronx,X193,X124,84X124,,Children's Aid College Preparatory Charter School,K-8,,1919 Prospect Avenue,Fully Accessible,9 out of 10
12,Bronx,X193,X211,12X211,,P.S. 211,K-8,Yes,1919 Prospect Avenue,Fully Accessible,9 out of 10
12,Bronx,X193,X318,12X318,,"I.S. X318 Math, Science & Technology Through Arts",Junior High-Intermediate-Middle,,1919 Prospect Avenue,Fully Accessible,9 out of 10
12,Bronx,X198,X188,75X188,,P.S. X188,K-12 all grades,Yes,1180 Tinton Avenue,Partially Accessible,1 out of 10
12,Bronx,X198,X463,12X463,,Urban Scholars Community School,Elementary,Yes,1180 Tinton Avenue,Partially Accessible,1 out of 10
12,Bronx,X198,X587,84X587,,NYC Autism Charter School Bronx,Ungraded,,1180 Tinton Avenue,Partially Accessible,1 out of 10
12,Bronx,X234,X010,75X010,,P.S. X010,K-12 all grades,Yes,2050 Prospect Avenue,Partially Accessible,1 out of 10
12,Bronx,X234,X300,12X300,,The School of Science and Applied Learning,Elementary,Yes,2050 Prospect Avenue,Partially Accessible,1 out of 10
12,Bronx,X420,X388,12X388,,Pan American International High School at Monroe,High school,,1300 Boynton Avenue,Partially Accessible,7 out of 10
12,Bronx,X420,X521,12X521,,The Metropolitan Soundview High School,High school,,1300 Boynton Avenue,Partially Accessible,7 out of 10
12,Bronx,X420,X550,12X550,,High School of World Cultures,High school,,1300 Boynton Avenue,Partially Accessible,7 out of 10
12,Bronx,X420,X597,84X597,,Urban Assembly Charter School for Computer Science,High school,,1300 Boynton Avenue,Partially Accessible,7 out of 10
12,Bronx,X423,X242,12X242,,Mott Hall V,Secondary School,,1551 East 172 Street,Fully Accessible,10 out of 10
12,Bronx,X423,X478,12X478,,The Cinema School ,High school,,1551 East 172 Street,Fully Accessible,10 out of 10
12,Bronx,X423,X721,75X721,,P.S. X721 - Stephen McSweeney School,High school,,1551 East 172 Street,Fully Accessible,10 out of 10
12,Bronx,X716,X185,84X185,,Pharos Academy Charter School,K-12 all grades,,1001 Intervale Avenue,Fully Accessible,9 out of 10
12,Bronx,X878,X682,12X682,,Fannie Lou Hamer Freedom High School,High school,,1021 Jennings Street,Fully Accessible,9 out of 10
12,Bronx,X879,X684,12X684,,Wings Academy,High school,,1122 East 180 Street,Fully Accessible,10 out of 10
12,Bronx,X973,X186,75X186,,P186X Walter J. Damrosch School,K-8,,1716 Southern Boulevard,Fully Accessible,10 out of 10
12,Bronx,X973,X271,12X271,,East Bronx Academy for the Future,Secondary School,,1716 Southern Boulevard,Fully Accessible,10 out of 10
13,Brooklyn,K008,K008,13K008,,The Emily Warren Roebling School,Elementary,,37 Hicks Street,Partially Accessible,8 out of 10
13,Brooklyn,K009,K009,13K009,,Public School 9 The Sarah Smith Garnet School,Elementary,Yes,80 Underhill Avenue,Partially Accessible,1 out of 10
13,Brooklyn,K011,K011,13K011,,P.S. 011 Purvis J. Behan,Elementary,Yes,419 Waverly Avenue,Partially Accessible,1 out of 10
13,Brooklyn,K056,K056,13K056,,P.S. 056 Lewis H. Latimer,Elementary,Yes,170 Gates Avenue,Partially Accessible,5 out of 10
13,Brooklyn,K056,K351,13K351,,The Urban Assembly Unison School,Junior High-Intermediate-Middle,,170 Gates Avenue,Partially Accessible,5 out of 10
13,Brooklyn,K056,K369,75K369,,P.S. K369 - Coy L. Cox School,K-12 all grades,,170 Gates Avenue,Partially Accessible,5 out of 10
13,Brooklyn,K113,K113,13K113,,M.S. 113 Ronald Edmonds Learning Center,Junior High-Intermediate-Middle,,300 Adelphi Street,Partially Accessible,8 out of 10
13,Brooklyn,K113,K372,75K372,,P.S. 372 -The Children's School,K-8,,300 Adelphi Street,Partially Accessible,8 out of 10
13,Brooklyn,K113,K789,84K789,,Compass Charter School,Elementary,Yes,300 Adelphi Street,Partially Accessible,8 out of 10
13,Brooklyn,K258,K140,75K140,,P.S. K140,K-8,,141 Macon Street,Fully Accessible,9 out of 10
13,Brooklyn,K258,K517,84K517,,Leadership Preparatory Bedford Stuyvesant Charter School,K-12 all grades,,141 Macon Street,Fully Accessible,9 out of 10
13,Brooklyn,K282,K282,13K282,,P.S. 282 Park Slope,K-8,Yes,180 6 Avenue,Partially Accessible,1 out of 10
13,Brooklyn,K313,K369,75K369,,P.S. K369 - Coy L. Cox School,K-12 all grades,,283 Adams Street,Fully Accessible,10 out of 10
13,Brooklyn,K313,K483,13K483,,The Urban Assembly School for Law and Justice,High school,,283 Adams Street,Fully Accessible,10 out of 10
13,Brooklyn,K313,K527,13K527,,Urban Assembly Institute of Math and Science for Young Women,Secondary School,,283 Adams Street,Fully Accessible,10 out of 10
13,Brooklyn,K317,K133,13K133,,P.S. 133 William A. Butler,Elementary,Yes,610 Baltic Street,Fully Accessible,10 out of 10
13,Brooklyn,K317,K369,75K369,,P.S. K369 - Coy L. Cox School,K-12 all grades,,610 Baltic Street,Fully Accessible,10 out of 10
13,Brooklyn,K430,K430,13K430,,Brooklyn Technical High School,High school,,29 Ft Greene Place,Partially Accessible,8 out of 10
13,Brooklyn,K458,K371,75K371,,P.S. 371 - Lillian L. Rashkis,High school,,832 Marcy Avenue,Fully Accessible,9 out of 10
13,Brooklyn,K458,K517,84K517,,Leadership Preparatory Bedford Stuyvesant Charter School,K-12 all grades,,832 Marcy Avenue,Fully Accessible,9 out of 10
13,Brooklyn,K458,K553,13K553,,Brooklyn Academy High School,High school,,832 Marcy Avenue,Fully Accessible,9 out of 10
13,Brooklyn,K580,K369,75K369,,P.S. K369 - Coy L. Cox School,K-12 all grades,,105 Tech Place,Partially Accessible,7 out of 10
13,Brooklyn,K580,K605,13K605,,George Westinghouse Career and Technical Education High School,High school,,105 Tech Place,Partially Accessible,7 out of 10
13,Brooklyn,K580,K674,13K674,,"City Polytechnic High School of Engineering, Architecture, and Technology",High school,,105 Tech Place,Partially Accessible,7 out of 10
13,Brooklyn,K580,K915,13K915,,Bridges: A School for Exploration and Equity,Junior High-Intermediate-Middle,,105 Tech Place,Partially Accessible,7 out of 10
13,Brooklyn,K611,K313,13K313,,Dock Street School for STEAM Studies,Junior High-Intermediate-Middle,,19 Dock Street,Fully Accessible,10 out of 10
13,Brooklyn,K784,K508,84K508,,Achievement First Endeavor Charter School,K-8,,510 Waverly Avenue,Fully Accessible,9 out of 10
13,Brooklyn,K805,K350,13K350,,Urban Assembly School of Music and Art,High school,,49 Flatbush Avenue Extension,Fully Accessible,9 out of 10
13,Brooklyn,K805,K419,13K419,,"Science Skills Center High School for Science, Technology and the Creative Arts",High school,,49 Flatbush Avenue Extension,Fully Accessible,9 out of 10
13,Brooklyn,K805,K439,13K439,,Brooklyn International High School,High school,,49 Flatbush Avenue Extension,Fully Accessible,9 out of 10
13,Brooklyn,K914,K670,13K670,,Benjamin Banneker Academy,High school,,71-77 Clinton Avenue,Fully Accessible,10 out of 10
13,Brooklyn,K994,K595,13K595,,Bedford Academy High School,High school,,1119 Bedford Avenue,Fully Accessible,10 out of 10
14,Brooklyn,K023,K023,14K023,,P.S. 023 Carter G. Woodson,Elementary,Yes,545 Willoughby Avenue,Partially Accessible,3 out of 10
14,Brooklyn,K023,K701,84K701,,Brooklyn Charter School,Elementary,,545 Willoughby Avenue,Partially Accessible,3 out of 10
14,Brooklyn,K033,K367,84K367,,Success Academy Charter School - Bed Stuy 1,K-8,,70 Tompkins Avenue,Partially Accessible,1 out of 10
14,Brooklyn,K033,K368,75K368,,P.S. 368,K-12 all grades,Yes,70 Tompkins Avenue,Partially Accessible,1 out of 10
14,Brooklyn,K071,K037,84K037,,Beginning with Children Charter School II,K-8,,215 Heyward Street,Partially Accessible,8 out of 10
14,Brooklyn,K071,K071,14K071,,Juan Morel Campos Secondary School,Secondary School,,215 Heyward Street,Partially Accessible,8 out of 10
14,Brooklyn,K071,K141,75K141,,P.S. K141,K-12 all grades,Yes,215 Heyward Street,Partially Accessible,8 out of 10
14,Brooklyn,K084,K084,14K084,,P.S. 084 Jose De Diego,K-8,Yes,250 Berry Street,Partially Accessible,2 out of 10
14,Brooklyn,K110,K110,14K110,,P.S. 110 The Monitor,Elementary,Yes,124 Monitor Street,Fully Accessible,9 out of 10
14,Brooklyn,K120,K120,14K120,,P.S. 120 Carlos Tapia,Elementary,Yes,18 Beaver Street,Partially Accessible,4 out of 10
14,Brooklyn,K120,K368,75K368,,P.S. 368,K-12 all grades,Yes,18 Beaver Street,Partially Accessible,4 out of 10
14,Brooklyn,K126,K126,14K126,,John Ericsson Middle School 126,Junior High-Intermediate-Middle,,424 Leonard Street,Partially Accessible,7 out of 10
14,Brooklyn,K126,K693,84K693,,Northside Charter High School,High school,,424 Leonard Street,Partially Accessible,7 out of 10
14,Brooklyn,K132,K132,14K132,,P.S. 132 The Conselyea School,Elementary,Yes,320 Manhattan Avenue,Fully Accessible,9 out of 10
14,Brooklyn,K257,K257,14K257,,P.S. 257 John F. Hylan,Elementary,Yes,60 Cook Street,Partially Accessible,8 out of 10
14,Brooklyn,K318,K318,14K318,,I.S. 318 Eugenio Maria De Hostos,Junior High-Intermediate-Middle,,101 Walton Street,Partially Accessible,3 out of 10
14,Brooklyn,K319,K319,14K319,,P.S. 319,Early Childhood,Yes,360 Keap Street,Partially Accessible,1 out of 10
14,Brooklyn,K380,K141,75K141,,P.S. K141,K-12 all grades,Yes,370 Marcy Avenue,Partially Accessible,3 out of 10
14,Brooklyn,K380,K380,14K380,,P.S. 380 John Wayne Elementary,Elementary,Yes,370 Marcy Avenue,Partially Accessible,3 out of 10
14,Brooklyn,K450,K474,14K474,,PROGRESS High School for Professional Careers,High school,,850 Grand Street,Partially Accessible,8 out of 10
14,Brooklyn,K450,K477,14K477,,East Williamsburg Scholars Academy,High school,,850 Grand Street,Partially Accessible,8 out of 10
14,Brooklyn,K450,K478,14K478,,"The High School for Enterprise, Business and Technology",High school,,850 Grand Street,Partially Accessible,8 out of 10
14,Brooklyn,K610,K610,14K610,,A-Tech High School,High school,,50 Bedford Avenue,Partially Accessible,1 out of 10
14,Brooklyn,K650,K488,14K488,,Brooklyn Preparatory High School,High school,,257 North  6 Street,Partially Accessible,6 out of 10
14,Brooklyn,K650,K558,14K558,,Williamsburg High School for Architecture and Design,High school,,257 North  6 Street,Partially Accessible,6 out of 10
14,Brooklyn,K650,K561,14K561,,Williamsburg Preparatory School,High school,,257 North  6 Street,Partially Accessible,6 out of 10
15,Brooklyn,K010,K010,15K010,,"Magnet School of Math, Science and Design Technology",Elementary,,511 7 Avenue,Partially Accessible,3 out of 10
15,Brooklyn,K024,K024,15K024,,P.S. 024,Elementary,Yes,427 38 Street,Fully Accessible,10 out of 10
15,Brooklyn,K032,K032,15K032,,P.S. 032 Samuel Mills Sprole,Elementary,Yes,317 Hoyt Street,Fully Accessible,9 out of 10
15,Brooklyn,K051,K051,15K051,,M.S. 51 William Alexander,Junior High-Intermediate-Middle,,288 4 Street,Partially Accessible,6 out of 10
15,Brooklyn,K088,K053,75K053,,P.S. K053,K-12 all grades,,544 7Th Avenue,Fully Accessible,9 out of 10
15,Brooklyn,K088,K088,15K088,,J.H.S. 088 Peter Rouget,Junior High-Intermediate-Middle,,544 7Th Avenue,Fully Accessible,9 out of 10
15,Brooklyn,K130,K130,15K130,,P.S. 130 The Parkside,Elementary,Yes,70 Ocean Parkway,Partially Accessible,4 out of 10
15,Brooklyn,K230,K230,15K230,,P.S. 230 Doris L. Cohen,Elementary,Yes,1 Albemarle Road,Partially Accessible,8 out of 10
15,Brooklyn,K261,K261,15K261,,P.S. 261 Zipporiah Mills,Elementary,Yes,314 Pacific Street,Partially Accessible,3 out of 10
15,Brooklyn,K261,K369,75K369,,P.S. K369 - Coy L. Cox School,K-12 all grades,,314 Pacific Street,Partially Accessible,3 out of 10
15,Brooklyn,K280,K442,15K442,,M.S. 442 Carroll Gardens School for Innovation,Junior High-Intermediate-Middle,,500 19 Street,Partially Accessible,6 out of 10
15,Brooklyn,K293,K129,84K129,,Success Academy Charter School - Cobble Hill,Elementary,,284 Baltic Street,Partially Accessible,3 out of 10
15,Brooklyn,K293,K368,75K368,,P.S. 368,K-12 all grades,Yes,284 Baltic Street,Partially Accessible,3 out of 10
15,Brooklyn,K293,K429,15K429,,Digital Arts and Cinema Technology High School,High school,,284 Baltic Street,Partially Accessible,3 out of 10
15,Brooklyn,K293,K497,15K497,,The Boerum Hill School for International Studies,Secondary School,,284 Baltic Street,Partially Accessible,3 out of 10
15,Brooklyn,K321,K321,15K321,,P.S. 321 William Penn,Elementary,,180 7 Avenue,Fully Accessible,9 out of 10
15,Brooklyn,K338,K889,22K889,,P.S. 889,Elementary,Yes,21 Hinckley Place,Fully Accessible,10 out of 10
15,Brooklyn,K338,K890,22K890,,M.S. 890,Junior High-Intermediate-Middle,,21 Hinckley Place,Fully Accessible,10 out of 10
15,Brooklyn,K437,K053,75K053,,P.S. K053,K-12 all grades,,713 Caton Avenue,Fully Accessible,10 out of 10
15,Brooklyn,K437,K130,15K130,,P.S. 130 The Parkside,Elementary,Yes,713 Caton Avenue,Fully Accessible,10 out of 10
15,Brooklyn,K437,K839,15K839,,M.S. 839,Junior High-Intermediate-Middle,,713 Caton Avenue,Fully Accessible,10 out of 10
15,Brooklyn,K460,K462,15K462,,John Jay School for Law,High school,,237 7 Avenue,Fully Accessible,9 out of 10
15,Brooklyn,K460,K463,15K463,,Cyberarts Studio Academy,High school,,237 7 Avenue,Fully Accessible,9 out of 10
15,Brooklyn,K460,K464,15K464,,Park Slope Collegiate,Secondary School,,237 7 Avenue,Fully Accessible,9 out of 10
15,Brooklyn,K460,K684,15K684,,Millennium Brooklyn HS,High school,,237 7 Avenue,Fully Accessible,9 out of 10
15,Brooklyn,K564,K371,75K371,,P.S. 371 - Lillian L. Rashkis,High school,,153 35 Street,Fully Accessible,10 out of 10
15,Brooklyn,K564,K667,15K667,,Sunset Park High School,High school,,153 35 Street,Fully Accessible,10 out of 10
15,Brooklyn,K655,K447,15K447,,The Math & Science Exploratory School,Junior High-Intermediate-Middle,,345 Dean Street,Partially Accessible,6 out of 10
15,Brooklyn,K655,K656,15K656,,Brooklyn High School of the Arts,High school,,345 Dean Street,Partially Accessible,6 out of 10
15,Brooklyn,K671,K958,15K958,,P.S. 958,Elementary,Yes,836-841 5Th Avenue,Fully Accessible,10 out of 10
15,Brooklyn,K682,K896,15K896,,The School of Creativity and Innovation,Elementary,Yes,736 48Th Street,Partially Accessible,4 out of 10
15,Brooklyn,K804,K373,75K373,,P.S. 373 - Brooklyn Transition Center,High school,,347 Baltic Street,Partially Accessible,4 out of 10
15,Brooklyn,K804,K519,15K519,,Cobble Hill School of American Studies,High school,,347 Baltic Street,Partially Accessible,4 out of 10
15,Brooklyn,K825,K698,15K698,,South Brooklyn Community High School,High school,,173 Conover Street,Fully Accessible,9 out of 10
15,Brooklyn,K917,K555,22K555,,Brooklyn College Academy,High school,,350 Coney Island Avenue,Fully Accessible,9 out of 10
15,Brooklyn,K990,K651,84K651,,PAVE Academy Charter School,K-8,,732 Henry Street,Fully Accessible,10 out of 10
16,Brooklyn,K026,K026,16K026,,P.S. 026 Jesse Owens,Elementary,Yes,1014 Lafayette Avenue,Fully Accessible,9 out of 10
16,Brooklyn,K026,K140,75K140,,P.S. K140,K-8,,1014 Lafayette Avenue,Fully Accessible,9 out of 10
16,Brooklyn,K026,K681,16K681,,Madiba Prep Middle School,Junior High-Intermediate-Middle,,1014 Lafayette Avenue,Fully Accessible,9 out of 10
16,Brooklyn,K035,K035,16K035,,M.S. 035 Stephen Decatur,Junior High-Intermediate-Middle,,272 Macdonough Street,Fully Accessible,9 out of 10
16,Brooklyn,K035,K141,75K141,,P.S. K141,K-12 all grades,Yes,272 Macdonough Street,Fully Accessible,9 out of 10
16,Brooklyn,K035,K628,16K628,,Brooklyn Brownstone School,Elementary,Yes,272 Macdonough Street,Fully Accessible,9 out of 10
16,Brooklyn,K081,K004,75K004,,P.S. K004,Elementary,Yes,990 Dekalb Avenue,Partially Accessible,3 out of 10
16,Brooklyn,K081,K081,16K081,,P.S. 081 Thaddeus Stevens,Elementary,Yes,990 Dekalb Avenue,Partially Accessible,3 out of 10
16,Brooklyn,K308,K308,16K308,,P.S. 308 Clara Cardwell,K-8,Yes,616 Quincy Street,Partially Accessible,6 out of 10
16,Brooklyn,K308,K406,84K406,,"EMBER Charter School for Mindful Education, Innovation and Transformation",K-8,,616 Quincy Street,Partially Accessible,6 out of 10
16,Brooklyn,K324,K267,16K267,,"M.S. 267 Math, Science & Technology",Junior High-Intermediate-Middle,,800 Gates Avenue,Partially Accessible,6 out of 10
16,Brooklyn,K324,K648,84K648,,Bedford Stuyvesant Collegiate Charter School,Junior High-Intermediate-Middle,,800 Gates Avenue,Partially Accessible,6 out of 10
16,Brooklyn,K324,K649,84K649,,La Cima Charter School,Elementary,,800 Gates Avenue,Partially Accessible,6 out of 10
16,Brooklyn,K335,K335,16K335,,P.S. 335 Granville T. Woods,Elementary,Yes,130 Rochester Avenue,Partially Accessible,4 out of 10
16,Brooklyn,K335,K898,16K898,,The Brooklyn Green School,Junior High-Intermediate-Middle,,130 Rochester Avenue,Partially Accessible,4 out of 10
16,Brooklyn,K455,K455,16K455,,Boys and Girls High School,High school,,1700 Fulton Street,Partially Accessible,3 out of 10
16,Brooklyn,K455,K669,16K669,,Research and Service High School,High school,,1700 Fulton Street,Partially Accessible,3 out of 10
